hawker_name,latitude,longitude,no_of_food_stalls,status,address,est_completion,description,no_of_mkt_produce_stalls,total_stalls,nearest_mrt_km,nearest_mrt_station,accessibility_score,mrt_walkable,region,size_category,popularity_score
Amoy Street Food Centre (Telok Ayer Food Centre),1.2792312094873002,103.84661927383159,134,Existing,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",1983,HUP Standard Upgrading,0,134,0.191,Maxwell,9.1,True,Central,Mega (80+),10.0
Margaret Drive Hawker Centre,1.2974865589089906,103.80469379769634,38,Existing (replacement),,30/3/2022,New Replacement Centre,0,38,0.397,Queenstown,8.2,True,Central,Medium (20-40),8.6
Punggol Coast Hawker Centre,1.4145180096913892,103.90854260132319,40,Existing (new),,21/8/2024,New Centre,0,40,1.235,Punggol,4.4,False,North,Medium (20-40),7.0
Bukit Timah Interim Hawker Centre and Market,1.3407879159379656,103.77521471399332,78,Interim Centre,,1/10/2024,Interim Centre,0,78,0.089,Beauty World,9.6,True,West,Large (40-80),10.0
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1.323064938171913,103.85499618356134,80,Existing,"Blk 90, Whampoa Drive, Singapore 320090",26/8/1976,HUP Standard Upgrading,0,80,0.859,Boon Keng,6.1,False,Central,Large (40-80),10.0
Pasir Panjang Food Centre,1.2759179745717486,103.79141090894716,45,Existing,"121, Pasir Panjang Road, Singapore 118543",1978,HUP Standard Upgrading,0,45,0.02,Pasir Panjang,9.9,True,Central,Large (40-80),10.0
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),1.276613670144106,103.8431616772891,52,Existing,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",18/4/1977,HUP Standard Upgrading,0,52,0.261,Tanjong Pagar,8.8,True,Central,Large (40-80),10.0
Jurong West Hawker Centre,1.3412641038830853,103.69724185257508,39,Existing (new),"Blk 50, Jurong West St 61, Singapore 648202",28/7/2017,New Centre,0,39,0.385,Pioneer,8.3,True,West,Medium (20-40),8.3
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.3082518466799975,103.88580870625425,168,Existing,"Blk 51, Old Airport Road, Singapore 390051",17/2/1973,HUP Standard Upgrading,0,168,0.277,Dakota,8.8,True,North-East,Mega (80+),10.0
Redhill Lane Blk 85 (Redhill Food Centre),1.2873075147506794,103.81831119566189,96,Existing,"Blk 85, Redhill Lane, Singapore 150085",4/4/1972,HUP Reconfiguration,0,96,0.316,Redhill,8.6,True,Central,Mega (80+),10.0
One Punggol Hawker Centre,1.4087476457286714,103.90516945745766,34,Existing (new),,29/4/2022,New Centre,0,34,0.498,Punggol,7.8,True,North,Medium (20-40),7.7
Bedok Food Centre,1.320350159875293,103.95547759902762,32,Existing,"1, Bedok Road, Singapore 469572",1971,HUP Rebuilding,0,32,0.883,Sungei Bedok,6.0,False,East,Medium (20-40),7.3
Bukit Canberra Hawker Centre,1.4482633636853246,103.8227636322519,44,Existing (new),,27/9/2022,New Centre,0,44,0.31,Woodlands North,8.6,True,North,Large (40-80),8.8
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.2852950787883,103.84582428335005,103,Existing,"Blk 531A, Upper Cross Street, Singapore 051531",28/1/1978,HUP Reconfiguration,0,103,0.176,Chinatown,9.2,True,Central,Mega (80+),10.0
